,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,Port Hardy,90,CA,1587234490,87,50.7,-127.42,48.2,8.05
77,Saint Paul Harbor,40,US,1587234394,81,57.79,-152.41,44.6,4.7
78,San Juan,0,AR,1587234472,19,-31.54,-68.54,87.71,8.95
79,Karpogory,89,RU,1587234491,97,64.0,44.45,31.42,3.0
80,Yar-Sale,100,RU,1587234491,98,66.83,70.83,34.72,6.22
81,Porto Walter,95,BR,1587234491,37,-8.27,-72.74,86.43,4.43
82,Hvolsvollur,90,IS,1587234491,93,63.75,-20.22,44.6,14.99
83,Nantucket,90,US,1587234491,93,41.28,-70.1,42.01,24.16
84,Nikolskoye,75,RU,1587234491,94,59.7,30.79,37.4,13.42
85,Vitim,13,RU,1587234492,92,59.45,112.56,12.4,4.97
86,Necochea,0,AR,1587234492,40,-38.55,-58.74,81.0,21.0
87,Avera,75,US,1587234492,50,33.19,-82.53,77.0,12.75
88,Ponta do Sol,6,PT,1587234492,53,32.67,-17.1,64.99,11.01
89,Norman Wells,90,CA,1587234419,93,65.28,-126.83,37.4,11.41
90,Bāgeshwar,40,IN,1587234492,36,29.85,79.77,62.91,5.32
91,Kutum,62,SD,1587234492,11,14.2,24.67,77.4,9.66
92,Qaanaaq,26,GL,1587234399,82,77.48,-69.36,19.42,11.03
93,Alta Floresta,75,BR,1587234492,47,-9.88,-56.09,96.8,2.24
94,Sola,73,VU,1587234493,76,-13.88,167.55,82.44,10.36
95,Grand Gaube,40,MU,1587234394,74,-20.01,57.66,79.0,16.11
96,Mar del Plata,0,AR,1587234309,50,-38.0,-57.56,75.2,18.34
97,Lavrentiya,100,RU,1587234493,96,65.58,-171.0,17.69,13.2
98,Karratha,80,AU,1587234493,64,-20.74,116.85,82.6,10.76
99,Katsuura,4,JP,1587234493,70,35.13,140.3,57.99,5.99
100,Mandalay,38,MM,1587234356,26,21.97,96.08,89.82,3.89
101,Okhotsk,54,RU,1587234493,85,59.38,143.3,8.15,12.57
102,Cockburn Town,40,TC,1587234493,65,21.46,-71.14,82.4,17.22
103,Vallenar,0,CL,1587234411,28,-28.57,-70.76,82.15,9.57
104,Port Lincoln,51,AU,1587234494,74,-34.73,135.87,58.5,5.14
105,San Quintín,23,MX,1587234494,57,30.48,-115.95,62.74,16.8
106,Ilulissat,75,GL,1587234494,79,69.22,-51.1,24.8,3.36
107,Chittarkonda,23,IN,1587234494,41,18.12,82.08,79.88,1.79
108,Castro,36,BR,1587234230,38,-24.79,-50.01,71.24,4.59
109,Upernavik,100,GL,1587234494,89,72.79,-56.15,25.68,29.04
110,Lethem,73,GY,1587234495,36,3.38,-59.8,94.86,7.36
111,Naples,40,IT,1587234243,72,40.83,14.25,64.4,3.36
112,Mujiayingzi,100,CN,1587234495,38,42.12,118.78,50.85,7.38
113,Bredasdorp,0,ZA,1587234495,87,-34.53,20.04,57.2,4.7
114,Laguna,90,US,1587234495,59,38.42,-121.42,62.01,9.17
115,Ciudad del Carmen,5,MX,1587234471,52,18.63,-91.83,91.4,9.17
116,Muros,64,ES,1587234495,76,42.78,-9.06,64.0,11.99
117,Gornopravdinsk,99,RU,1587234495,76,60.05,69.9,45.99,11.23
118,Marabá,75,BR,1587234496,70,-5.37,-49.12,86.0,3.36
119,San Policarpo,25,PH,1587234496,79,12.18,125.51,81.7,14.7
120,Kidodi,100,TZ,1587234496,81,-7.6,37.0,73.47,1.97
121,Batagay,82,RU,1587234496,87,67.63,134.63,-8.77,2.1
122,Mataura,100,NZ,1587234496,93,-46.19,168.86,43.0,4.0
123,Province of Trapani,75,IT,1587234496,87,37.83,12.67,60.8,3.36
124,Kavieng,99,PG,1587234396,76,-2.57,150.8,82.17,0.6
125,Byron Bay,75,AU,1587234481,93,-28.65,153.62,63.0,6.93
126,Barrow,1,US,1587234497,91,71.29,-156.79,-7.6,9.17
127,Gisborne,0,NZ,1587234497,73,-38.65,178.0,54.0,7.61
128,North Bend,90,US,1587234497,76,43.41,-124.22,60.01,6.93
129,Fairbanks,90,US,1587234497,100,64.84,-147.72,39.99,2.98
130,Vao,26,NC,1587234497,69,-22.67,167.48,75.09,11.03
131,Bathsheba,20,BB,1587234498,58,13.22,-59.52,86.0,19.46
132,Solnechnyy,45,RU,1587234498,90,50.72,136.63,29.23,4.7
133,Daru,73,PG,1587234498,87,-9.08,143.21,79.18,8.1
134,Vila Velha,20,BR,1587234198,65,-20.33,-40.29,79.0,16.11
135,Oranjemund,1,NA,1587234498,83,-28.55,16.43,59.83,3.09
136,Ahipara,65,NZ,1587234498,84,-35.17,173.17,63.79,10.96
137,Saskylakh,0,RU,1587234400,81,71.92,114.08,8.49,5.06
138,Palana,95,RU,1587234257,94,59.12,159.97,18.32,6.55
139,Lac du Bonnet,99,CA,1587234499,87,50.25,-96.06,37.0,8.99
140,Pierre,1,US,1587234277,34,44.37,-100.35,64.4,18.34
141,Port Elizabeth,3,ZA,1587234499,94,-33.92,25.57,68.0,9.17
142,Ayacucho,75,PE,1587234499,37,-13.16,-74.22,69.8,6.93
143,Vidim,31,RU,1587234499,88,56.41,103.11,21.67,7.29
144,Suamico,1,US,1587234499,41,44.63,-88.04,57.2,19.46
145,Alice Springs,0,AU,1587234487,55,-23.7,133.88,60.8,4.7
146,Carnarvon,75,AU,1587234500,88,-24.87,113.63,75.2,14.99
147,Mahébourg,40,MU,1587234419,74,-20.41,57.7,79.0,16.11
148,Makakilo City,40,US,1587234500,77,21.35,-158.09,77.0,7.16
149,Altay,75,CN,1587234500,31,47.87,88.12,48.43,4.23
150,San Cristobal,40,VE,1587234500,51,7.77,-72.22,84.2,14.99
151,Ancud,75,CL,1587234458,82,-41.87,-73.82,60.8,14.99
152,Gariāband,28,IN,1587234500,22,20.64,82.06,86.11,3.11
153,Taywarah,17,AF,1587234501,27,33.35,64.42,43.95,3.29
154,Santa Lucía,20,ES,1587234501,56,27.91,-15.54,69.8,18.34
155,Mackay,0,AU,1587234501,88,-21.15,149.2,73.0,4.7
156,Quang Ngai,65,VN,1587234363,89,15.12,108.8,76.03,6.98
157,Avarua,13,CK,1587234501,78,-21.21,-159.78,78.8,3.36
158,Jiuquan,38,CN,1587234501,23,39.74,98.52,53.33,4.74
159,Esperance,75,AU,1587234501,100,-33.87,121.9,59.0,16.11
160,Rach Gia,99,VN,1587234501,76,10.02,105.08,82.35,7.02
161,Lorengau,64,PG,1587234413,72,-2.02,147.27,82.51,1.45
162,Coahuayana Viejo,20,MX,1587234501,40,18.73,-103.68,86.0,5.91
163,Bandar-e Lengeh,90,IR,1587234280,78,26.56,54.88,77.0,6.8
164,Mossamedes,69,AO,1587234472,70,-15.2,12.15,74.34,5.64
165,Cherskiy,39,RU,1587234502,87,68.75,161.3,-4.95,6.04
166,Dembī Dolo,91,ET,1587234502,23,8.53,34.8,69.21,1.83
167,Los Algarrobos,40,PA,1587234502,52,8.5,-82.43,91.4,9.17
168,Alyangula,3,AU,1587234502,100,-13.85,136.42,71.6,6.64
169,Berlevåg,75,NO,1587234502,86,70.86,29.09,33.8,11.41
170,Mulchén,75,CL,1587234503,78,-37.72,-72.23,71.6,8.05
171,Mbandaka,96,CD,1587234503,85,0.05,18.26,73.78,1.19
172,Port-Gentil,40,GA,1587234503,79,-0.72,8.78,86.0,10.29
173,Praia,40,CV,1587234503,54,14.92,-23.51,78.8,20.8
174,Svätý Jur,100,SK,1587234503,37,48.25,17.22,68.0,4.7
175,Newark,90,US,1587234412,70,40.74,-74.17,46.99,12.75
176,Lebu,91,CL,1587234504,68,-37.62,-73.65,64.29,6.55
177,Hilton Head,75,US,1587234311,54,32.22,-80.75,81.0,9.17
178,Tegul'det,50,RU,1587234504,79,57.31,88.17,39.43,8.5
179,Preston,99,GB,1587234504,66,53.77,-2.72,52.0,1.99
180,Tovste,26,UA,1587234504,28,48.85,25.73,50.0,1.99
181,Jiazi,95,CN,1587234383,89,22.88,116.07,73.6,1.48
182,Tarnogskiy Gorodok,100,RU,1587234504,96,60.5,43.58,29.84,2.51
183,Beringovskiy,100,RU,1587234265,96,63.05,179.32,18.05,18.81
184,Marrakesh,75,MA,1587234304,49,31.63,-8.01,73.4,14.99
185,Soe,21,ID,1587234505,77,-9.86,124.28,64.4,2.46
186,Corinth,0,GR,1587234505,67,37.94,22.96,66.0,1.9
187,College,90,US,1587234505,100,64.86,-147.8,39.2,2.98
188,Severodvinsk,40,RU,1587234505,86,64.56,39.83,33.8,4.47
189,Clyde River,75,CA,1587234506,85,70.47,-68.59,15.8,4.7
190,Flinders,92,AU,1587234506,84,-34.58,150.86,53.01,6.49
191,Valdosta,40,US,1587234506,58,30.83,-83.28,82.4,4.7
192,Kondinskoye,59,RU,1587234506,76,59.65,67.41,41.68,11.25
193,Flin Flon,20,CA,1587234506,52,54.77,-101.86,19.4,8.05
194,Khorramshahr,40,IR,1587234506,56,30.44,48.17,69.8,18.34
195,Ashington,40,GB,1587234507,71,50.93,-0.39,59.0,6.93
196,Arraial do Cabo,40,BR,1587234507,73,-22.97,-42.03,77.0,10.29
197,Dunedin,95,NZ,1587234507,72,-45.87,170.5,48.0,6.11
198,Sioux Lookout,90,CA,1587234430,74,50.1,-91.92,41.0,14.99
199,Bethel,90,US,1587234400,80,41.37,-73.41,39.99,9.17
200,Gamba,76,GA,1587234508,81,-2.65,10.0,80.06,8.05
201,Dingle,0,PH,1587234508,79,11.0,122.67,80.22,8.52
202,São João da Barra,75,BR,1587234508,65,-21.64,-41.05,78.8,13.87
203,Pochutla,20,MX,1587234244,58,15.74,-96.47,91.99,11.41
204,Kalmunai,30,LK,1587234257,79,7.42,81.82,82.35,5.41
205,Jijiga,100,ET,1587234508,50,9.35,42.8,68.88,6.96
206,Labytnangi,100,RU,1587234508,96,66.66,66.42,32.49,5.12
207,Alugan,29,PH,1587234508,79,12.22,125.48,81.43,14.52
208,Sisophon,34,KH,1587234508,71,13.59,102.97,82.56,5.97
209,Saldanha,21,ZA,1587234509,33,-33.01,17.94,73.4,8.05
210,Yulara,0,AU,1587234509,42,-25.24,130.99,68.0,6.93
211,Mount Gambier,40,AU,1587234419,93,-37.83,140.77,42.8,6.93
212,Touros,40,BR,1587234509,62,-5.2,-35.46,87.8,11.41
213,Bubaque,100,GW,1587234509,75,11.28,-15.83,77.23,21.7
214,San Antonio,90,US,1587234224,77,29.42,-98.49,62.6,10.29
215,Point Fortin,18,TT,1587234509,45,10.18,-61.68,91.0,14.14
216,Wanning,49,CN,1587234509,91,18.8,110.4,76.26,8.3
217,Sistranda,75,NO,1587234510,87,63.73,8.83,44.6,8.05
218,Ketchikan,1,US,1587234492,76,55.34,-131.65,50.0,13.87
219,Kurumkan,76,RU,1587234510,82,54.3,110.3,25.9,2.71
220,La Romana,40,DO,1587234510,52,18.43,-68.97,91.4,8.05
221,Mikhaylovka,30,RU,1587234510,64,50.06,43.24,41.54,7.11
222,Husavik,90,IS,1587234510,57,66.04,-17.34,50.0,49.44
223,Severo-Kuril'sk,0,RU,1587234475,88,50.68,156.12,32.68,9.04
224,Anadyr,90,RU,1587234485,85,64.75,177.48,15.8,17.9
225,Båtsfjord,75,NO,1587234511,86,70.63,29.72,33.8,11.41
226,Beloha,39,MG,1587234511,75,-25.17,45.05,73.42,12.17
227,Thunder Bay,90,CA,1587234512,46,48.4,-89.32,53.6,24.16
228,Pergamino,0,AR,1587234512,37,-33.89,-60.57,82.0,1.99
229,Huanren,77,CN,1587234512,45,41.26,125.37,48.49,1.28
230,Rapid City,1,US,1587234288,39,44.08,-103.23,59.0,18.34
231,Ovsyanka,22,RU,1587234513,74,55.96,92.55,30.2,4.07
232,Rome,90,US,1587234481,60,43.21,-75.46,46.0,9.17
233,Umm Hājar,34,TD,1587234513,10,13.3,19.7,87.91,5.88
234,Longyearbyen,40,SJ,1587234353,95,78.22,15.64,32.0,6.93
235,Pangnirtung,40,CA,1587234513,77,66.15,-65.71,3.2,5.82
236,Hofn,99,IS,1587234513,86,64.25,-15.21,44.31,13.35
237,Lata,68,PT,1587234341,80,40.16,-8.33,66.0,5.01
238,Tigil',100,RU,1587234514,96,57.8,158.67,25.84,9.64
239,Rosarito,90,MX,1587234514,67,32.33,-117.03,60.8,11.41
240,Samarai,47,PG,1587234514,81,-10.62,150.67,79.48,1.14
241,Uray,73,RU,1587234514,81,60.12,64.78,39.42,10.92
242,Bundaberg,40,AU,1587234514,100,-24.85,152.35,71.01,4.05
243,Nicoya,8,CR,1587234514,28,10.15,-85.45,96.8,11.41
244,Ponta Delgada,40,PT,1587234465,82,37.73,-25.67,62.6,11.41
245,Geraldton,75,AU,1587234314,88,-28.77,114.6,66.2,6.93
246,Constitución,93,CL,1587234515,74,-35.33,-72.42,68.79,9.37
247,Saint George,1,US,1587234454,39,37.1,-113.58,66.99,5.82
248,Mahanoro,28,MG,1587234515,81,-19.9,48.8,76.71,8.46
249,Marystown,63,CA,1587234501,80,47.17,-55.15,35.01,12.08
250,Penzance,22,GB,1587234515,100,50.12,-5.54,51.8,13.87
251,Buckeye,1,US,1587234515,42,33.37,-112.58,70.0,9.17
252,Port Blair,8,IN,1587234515,74,11.67,92.75,83.97,6.67
253,Darhan,81,MN,1587234515,59,49.49,105.92,36.07,6.91
254,Morgan City,90,US,1587234516,83,29.7,-91.21,75.2,9.17
255,Northam,46,GB,1587234516,86,51.03,-4.22,55.99,5.01
256,Saint-Joseph,20,RE,1587234516,78,-21.37,55.62,77.0,17.22
257,Olafsvik,100,IS,1587234469,90,64.89,-23.71,34.79,5.95
258,Te Anau,80,NZ,1587234286,72,-45.42,167.72,44.96,5.73
259,Umluj,100,SA,1587234516,54,25.02,37.27,74.44,6.91
260,Broken Hill,43,AU,1587234274,62,-31.95,141.43,51.8,1.48
261,Kavaratti,1,IN,1587234516,70,10.57,72.64,84.74,6.35
262,Dédougou,94,BF,1587234516,15,12.47,-3.47,103.17,6.96
263,Birjand,20,IR,1587234333,71,32.87,59.22,53.6,11.41
264,Eirunepé,16,BR,1587234517,43,-6.66,-69.87,88.92,4.09
265,Ugoofaaru,7,MV,1587234517,73,5.67,73.0,85.95,8.95
266,Nemuro,97,JP,1587234517,83,43.32,145.57,40.48,9.6
267,Coos Bay,90,US,1587234517,76,43.37,-124.22,60.01,6.93
268,Aktash,0,RU,1587234517,43,50.3,87.73,26.11,3.09
269,Kiryat Gat,2,IL,1587234517,14,31.61,34.76,68.0,9.62
270,Verkhnevilyuysk,19,RU,1587234517,93,63.45,120.32,3.38,4.5
271,Dafeng,93,CN,1587234518,85,23.45,108.59,72.34,5.93
272,Saint-Pierre,20,RE,1587234453,78,-21.34,55.48,77.0,17.22
273,Biak,61,ID,1587234518,77,-0.91,122.88,80.13,2.89
274,The Valley,75,AI,1587234257,74,18.22,-63.06,80.6,11.41
275,Aklavik,75,CA,1587234432,79,68.22,-135.01,23.0,11.41
276,Puerto Carreño,75,CO,1587234289,88,6.19,-67.49,77.0,9.17
277,Huilong,100,CN,1587234518,98,31.81,121.66,57.0,4.0
278,Batagay-Alyta,0,RU,1587234518,67,67.8,130.41,-7.1,4.45
279,Puerto Colombia,20,CO,1587234519,52,10.99,-74.95,93.2,10.29
280,Joshīmath,87,IN,1587234519,24,30.57,79.57,49.41,4.25
281,Siocon,33,PH,1587234519,74,7.71,122.14,82.38,9.33
282,Talnakh,100,RU,1587234519,74,69.49,88.4,37.4,33.55
283,Cazones de Herrera,75,MX,1587234519,63,20.72,-97.32,91.4,6.93
284,Hithadhoo,99,MV,1587234519,74,-0.6,73.08,84.16,12.82
285,Trairi,23,BR,1587234519,72,-3.28,-39.27,83.75,5.5
286,Fukuechō,85,JP,1587234520,70,32.69,128.84,59.27,13.69
287,Kingman,1,US,1587234520,34,35.19,-114.05,69.01,14.99
288,Nassau,90,US,1587234520,75,40.75,-73.58,44.01,12.75
289,La Palma,90,US,1587234396,67,33.85,-118.05,66.0,4.7
290,San Patricio,20,MX,1587234437,78,19.22,-104.7,82.4,11.41
291,Brae,0,GB,1587234520,70,60.4,-1.35,46.4,11.41
292,Galesong,20,ID,1587234520,100,-5.32,119.37,77.0,1.12
293,Omsukchan,100,RU,1587234520,84,62.53,155.8,-0.09,6.29
294,La Moncada,40,MX,1587234520,32,20.27,-100.8,80.6,5.3
295,Tashtyp,0,RU,1587234521,59,52.79,89.9,39.36,4.56
296,Srednekolymsk,47,RU,1587234521,89,67.45,153.68,-12.33,7.87
297,Ostrovnoy,100,RU,1587234521,95,68.05,39.51,32.45,12.5
298,Vila Franca do Campo,40,PT,1587234472,82,37.72,-25.43,62.6,11.41
299,At-Bashi,86,KG,1587234521,23,41.17,75.81,43.48,1.28
300,Pisco,3,PE,1587234521,64,-13.7,-76.22,75.99,10.29
301,Wuwei,1,CN,1587234271,43,37.93,102.64,51.01,4.34
302,Terrace Bay,90,CA,1587234521,88,48.78,-87.1,35.6,9.17
303,Itoman,75,JP,1587234522,88,26.12,127.67,71.6,5.82
304,Tungor,22,RU,1587234522,90,53.38,142.96,16.27,5.44
305,Songyuan,87,CN,1587234522,32,45.12,124.86,57.49,14.56
306,Billings Metropolitan Area,75,US,1587234274,50,45.78,-108.5,51.8,8.05
307,Aberdeen,0,GB,1587234522,70,57.14,-2.1,46.0,8.05
308,Ust'-Ishim,100,RU,1587234522,74,57.69,71.17,48.76,6.44
309,Oktyabr'skoye,97,RU,1587234522,65,43.06,44.74,46.4,8.95
310,Lugovoy,0,KZ,1587234522,44,42.95,72.76,52.54,6.13
311,Moerai,100,PF,1587234286,77,-22.43,-151.33,80.22,9.04
312,Tazovsky,100,RU,1587234522,98,67.47,78.7,36.77,22.64
313,Pundaguitan,60,PH,1587234523,80,6.37,126.17,82.13,12.06
314,Rock Sound,2,BS,1587234523,80,24.9,-76.2,78.24,13.24
315,Saginaw,1,US,1587234523,37,43.33,-84.03,55.99,18.34
316,Monrovia,75,LR,1587234250,83,6.3,-10.8,82.4,6.93
317,Airai,63,TL,1587234523,56,-8.93,125.41,60.13,2.48
318,Masvingo,6,ZW,1587234523,64,-20.06,30.83,65.05,8.03
319,Suntar,96,RU,1587234523,94,62.14,117.63,11.03,4.79
320,Vila,75,PT,1587234523,87,42.03,-8.16,57.2,5.82
321,Nara,99,JP,1587234250,61,34.69,135.8,55.99,1.99
322,Jianhu,20,CN,1587234524,63,29.98,120.57,62.01,3.27
323,Isla Mujeres,75,MX,1587234494,66,21.23,-86.73,87.8,14.99
324,Pacific Grove,90,US,1587234435,62,36.62,-121.92,59.0,7.99
325,Pampa,1,US,1587234524,44,35.54,-100.96,64.4,19.46
326,Nālūt,28,LY,1587234524,19,30.33,10.85,84.65,12.44
327,The Pas,75,CA,1587234524,62,53.83,-101.25,23.0,10.29
328,Tarko-Sale,100,RU,1587234524,70,64.92,77.78,39.0,27.85
329,Tabou,88,CI,1587234524,83,4.42,-7.35,81.72,9.1
330,Terney,63,RU,1587234524,68,45.05,136.61,39.07,2.37
331,Neiafu,75,TO,1587234524,94,-18.65,-173.98,77.0,17.65
332,Tiznit Province,24,MA,1587234482,59,29.58,-9.5,60.84,11.25
333,Ormara,60,PK,1587234454,77,25.21,64.64,78.73,11.05
334,Tuatapere,94,NZ,1587234525,93,-46.13,167.68,43.0,4.0
335,Guderup,16,DK,1587234525,62,54.99,9.87,51.8,11.41
336,Puyang,100,CN,1587234525,84,29.46,119.89,59.18,0.94
337,Sitka,40,US,1587234525,93,57.05,-135.33,41.0,4.7
338,Örnsköldsvik,0,SE,1587234525,42,63.29,18.72,48.2,6.93
339,Padang,100,ID,1587234525,77,-0.95,100.35,78.89,0.98
340,Benghazi,0,LY,1587234526,65,32.12,20.07,62.74,15.97
341,Cayenne,75,GF,1587234414,70,4.93,-52.33,86.0,8.05
342,Laas,40,IT,1587234451,51,46.62,10.7,59.0,2.24
343,Codrington,47,AU,1587234526,84,-38.27,141.97,51.66,7.92
344,Abu Samrah,67,SY,1587234526,44,35.3,37.18,69.37,6.6
345,Itarema,30,BR,1587234526,72,-2.92,-39.92,84.38,7.09
346,Torbay,75,CA,1587234526,55,47.67,-52.73,39.99,11.41
347,Atar,0,MR,1587234527,13,20.52,-13.05,86.22,15.46
348,Shingū,1,JP,1587234527,69,33.73,135.98,51.78,12.64
349,São Caetano do Sul,20,BR,1587234527,60,-23.62,-46.55,73.4,13.87
350,Yongzhou,94,CN,1587234527,88,26.46,111.6,64.83,5.79
351,Waipawa,9,NZ,1587234284,59,-41.41,175.52,60.8,13.87
352,Rabo de Peixe,40,PT,1587234527,82,37.8,-25.58,62.6,11.41
353,Bloemfontein,16,ZA,1587234420,82,-29.12,26.21,62.6,4.7
354,Qaqortoq,40,GL,1587234527,43,60.72,-46.03,33.8,5.82
355,Baykit,46,RU,1587234527,92,61.67,96.37,20.35,2.13
356,East London,0,ZA,1587234261,64,-33.02,27.91,71.94,17.94
357,Gunnedah,1,AU,1587234528,100,-30.98,150.25,41.0,3.36
358,Manta,75,EC,1587234528,78,-0.95,-80.73,82.4,8.05
359,Kenai,90,US,1587234515,93,60.55,-151.26,41.0,6.93
360,Juba,98,SS,1587234528,58,4.85,31.58,79.45,5.84
361,Erzin,76,TR,1587234528,49,36.96,36.2,69.8,12.75
362,Rudnogorsk,11,RU,1587234528,89,57.26,103.75,18.81,6.46
363,Nsawam,20,GH,1587234528,79,5.81,-0.35,84.2,16.11
364,Kedrovyy,13,RU,1587234528,74,56.17,91.82,30.2,7.61
365,Ust'-Omchug,100,RU,1587234473,80,61.15,149.63,-8.07,9.22
366,Mayo,90,US,1587234454,57,38.89,-76.51,53.01,17.22
367,Varkaus,75,FI,1587234529,86,62.32,27.87,34.0,12.75
368,Mokhsogollokh,50,RU,1587234529,92,61.47,128.92,4.8,3.51
369,Bengkulu,100,ID,1587234529,83,-3.8,102.27,77.99,3.4
370,Paita,54,PE,1587234529,48,-5.09,-81.11,87.8,11.41
371,Cidreira,3,BR,1587234529,65,-30.18,-50.21,71.73,10.78
372,Coyhaique,90,CL,1587234529,76,-45.58,-72.07,51.8,4.7
